date,updateDate,code1,code2,code3,value,source
2010-01-01,2010-01-01 00:00:00,shAAz,W/ALL/DUR,PR,5.2,S1
2010-01-01,2010-01-01 00:00:00,shAId,W/ALL/DUR,PR,7.16,S1
2010-01-01,2010-01-01 00:00:00,shAMt,W/ALL/DUR,PR,5.02,S1
2010-01-01,2010-01-01 00:00:00,shANd,W/ALL/DUR,PR,4.91,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,65000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,66000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,PRD,7475000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,115.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,3500.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,PRD,368000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,105.1,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,11000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,11000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,101.7,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AH,3700.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,3700.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,PRD,326000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,88.1,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,6200.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,PRD,710000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,114.5,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,AP,39000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,PRD,4725000.0,S1
2010-01-01,2010-12-31 00:00:00,shAAz,W/ALL/DUR,YLD,123.7,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AH,75000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AP,85000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,PR,6.02,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,PRD,8325000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,YLD,111.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AH,57400.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AP,59000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,PRD,6428000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,YLD,112.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AH,600.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,AP,600.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,PRD,120000.0,S1
2010-01-01,2010-12-31 00:00:00,shACa,W/ALL/DUR,YLD,200.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/ALL/DUR,AH,17000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/ALL/DUR,AP,17000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/ALL/DUR,PRD,1037000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,510000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,520000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,17340000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,34.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,99000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,99000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,2830000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,28.6,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,10000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,10000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,368000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,36.8,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,67000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,72000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,2170000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,32.4,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,240000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,242000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,8123000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,33.8,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AH,15800.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,AP,16000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,PRD,589000.0,S1
2010-01-01,2010-12-31 00:00:00,shAMt,W/ALL/DUR,YLD,37.3,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,1780000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,1800000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,66750000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,37.5,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,53300.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,53700.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,2399000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,45.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,40800.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,43000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,1618000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,39.7,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,95400.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,96500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,3302000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,34.6,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,33400.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,34400.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,1503000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,45.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,256500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,258000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,8337000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,32.5,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,22500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,22600.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,906000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,40.3,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,44500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,44500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,1802000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,40.5,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,99000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,102500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,3465000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,35.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,109500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,110000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,4798000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,43.8,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,18700.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,19000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,729000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,39.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,216500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,217000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,8119000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,37.5,S1
